phase,282
project,238
development,223
technology,213
design,199
cost,190
performance,180
system,117
application,104
applicant,99
research,98
capability,72
potential,63
information,63
patient,61
detect,59
market,58
quality,55
implementation,54
level,54
operation,53
industry,52
efficiency,51
treatment,49
method,48
low,47
solution,46
environment,44
effective,42
innovation,41
high,40
measurement,40
sensitivity,38
effectiveness,37
production,37
accuracy,36
problem,36
optimization,35
integration,33
analysis,33
safety,33
dynamic,32
simulation,32
sensitive,30
manufacture,29
training,29
public,29
multiple,28
location,28
review,26
condition,26
assessment,25
model,23
test,22
product,21
testing,21
host,20
configuration,20
distribution,20
characterization,20
effect,20
low-cost,20
team,19
threat,19
personnel,19
process,19
rate,19
detection,76
monitoring,39
surface,25
mission,25
operational,25
long-term,23
individual,22
estimate,18
remote,17
damage,17
failure,17
shape,17
service,16
conversion,16
specification,16
technical,16
volume,15
longterm,15
reliability,15
activity,15
knowledge,15
algorithm,15
functional,15
processing,15
resolution,14
student,14
collaboration,14
methodology,14
exposure,14
stability,14
wind,14
availability,14
management,13
enhancement,13
continuous,13
response,13
outcome,13
module,13
event,12
current,12
experience,12
acquisition,12
code,12
probability,12
degradation,12
framework,11
complexity,11
property,11
source,11
group,11
deposition,11
skill,11
function,11
document,10
prediction,10
government,10
customer,10
realtime,10
time,10
robustness,10
awareness,10
determination,10
sample,10
program,10
object,10
relationship,10
load,10
fault,10
portable,10
automated,10
operator,9
noise,9
density,9
decision,9
validation,9
fast,9
techniques,8
assembly,8
science,8
plan,8
investment,8
machine,7
injection,7
parameter,7
rapid,7
bind,7
persistent,6
expansion,6
color,6
active,6
guidance,6
incident,6
local,5
variable,5
stakeholder,5
recovery,5
diversity,5
vulnerability,5
physical,5
consumer,5
asset,5
